Target,Date,Lat,Lon,Elevation_m,Rainfall_Day_0_mm,Rainfall_Antecedent_3D_mm,Rainfall_Antecedent_7D_mm,Rainfall_Antecedent_15D_mm,Soil_Moisture_Surface,Soil_Moisture_Deep
0,26-09-2001,30.389,78.48,654.0,0.7,3.9000000000000004,4.4,13.6,0.355,0.384
0,27-09-2001,30.389,78.48,654.0,0.0,4.1,5.1,12.0,0.34,0.381
0,28-09-2001,30.389,78.48,654.0,0.0,3.8,5.1,10.0,0.322,0.377
0,29-09-2001,30.389,78.48,654.0,2.3,0.7,5.1,7.1000000000000005,0.31,0.373
0,30-09-2001,30.389,78.48,654.0,0.2,2.3,6.8999999999999995,9.0,0.304,0.37
0,01-10-2001,30.389,78.48,654.0,2.1,2.5,6.6,9.2,0.298,0.366
0,02-10-2001,30.389,78.48,654.0,3.4,4.6,8.4,11.3,0.309,0.364
0,03-10-2001,30.389,78.48,654.0,5.3,5.7,8.7,14.7,0.32,0.362
0,04-10-2001,30.389,78.48,654.0,4.2,10.8,13.3,18.4,0.371,0.361
0,05-10-2001,30.389,78.48,654.0,1.8,12.9,17.5,22.6,0.398,0.361
0,06-10-2001,30.389,78.48,654.0,0.0,11.3,19.3,24.400000000000002,0.379,0.361
0,07-10-2001,30.389,78.48,654.0,0.0,6.0,17.0,24.400000000000002,0.359,0.359
0,08-10-2001,30.389,78.48,654.0,0.0,1.8,16.8,23.900000000000002,0.339,0.357
0,09-10-2001,30.389,78.48,654.0,0.0,0.0,14.700000000000001,23.400000000000002,0.322,0.355
0,10-10-2001,30.389,78.48,654.0,0.8,0.0,11.3,23.1,0.313,0.353
0,11-10-2001,30.389,78.48,654.0,0.0,0.8,6.800000000000001,20.799999999999997,0.308,0.351
0,12-10-2001,30.389,78.48,654.0,0.0,0.8,2.6,20.099999999999998,0.297,0.349
0,13-10-2001,30.389,78.48,654.0,0.0,0.8,0.8,20.099999999999998,0.283,0.346
