Target,Date,Lat,Lon,Elevation_m,Slope_deg,Aspect_deg,Baseline_NDVI,Rainfall_Day_0_mm,Rainfall_Antecedent_3D_mm,Rainfall_Antecedent_7D_mm,Rainfall_Antecedent_15D_mm,Soil_Moisture_Surface,Soil_Moisture_Deep
0,26-09-2001,30.38896236,78.47993756,654.8097205,3.707658449,345.767774,0.133820342,0.7,3.9,4.4,13.6,0.355,0.384
0,27-09-2001,30.38913521,78.48012103,658.6236787,7.232052671,344.8145156,0.096848321,0,4.1,5.1,12,0.34,0.381
0,28-09-2001,30.3890696,78.47990347,651.9596603,3.611822402,340.0222552,0.126512225,0,3.8,5.1,10,0.322,0.377
0,29-09-2001,30.3890296,78.48009569,656.6207985,6.821076433,351.3543378,0.144604289,2.3,0.7,5.1,7.1,0.31,0.373
0,30-09-2001,30.38889681,78.48000061,656.2307754,5.40542097,343.6298099,0.108767947,0.2,2.3,6.9,9,0.304,0.37
0,1/10/2001,30.3888968,78.47987358,649.6132698,6.693468161,343.2862614,0.112894729,2.1,2.5,6.6,9.2,0.298,0.366
0,2/10/2001,30.38886743,78.48007008,658.3000508,7.411129965,338.5279521,0.10990214,3.4,4.6,8.4,11.3,0.309,0.364
0,3/10/2001,30.38910985,78.48011762,658.3130392,6.878513861,355.4728542,0.117425825,5.3,5.7,8.7,14.7,0.32,0.362
0,4/10/2001,30.38903033,78.47989891,652.9633518,6.582518802,350.3614424,0.111640024,4.2,10.8,13.3,18.4,0.371,0.361
0,5/10/2001,30.38906242,78.48006768,653.1767784,3.532525283,351.8489664,0.128599779,1.8,12.9,17.5,22.6,0.398,0.361
0,6/10/2001,30.38885618,78.47998352,657.1959693,6.799533276,351.0154672,0.085377747,0,11.3,19.3,24.4,0.379,0.361
0,7/10/2001,30.38914097,78.48007616,653.9503066,3.328785965,340.1832475,0.113005597,0,6,17,24.4,0.359,0.359
0,8/10/2001,30.38909973,78.48006418,656.992007,5.063590271,339.5837865,0.119304137,0,1.8,16.8,23.9,0.339,0.357
0,9/10/2001,30.3889137,78.47985798,649.3612517,5.011725327,355.9104698,0.086644012,0,0,14.7,23.4,0.322,0.355
0,10/10/2001,30.38890455,78.47990362,651.5027061,5.093705698,337.3140322,0.091294434,0.8,0,11.3,23.1,0.313,0.353
0,11/10/2001,30.38890502,78.47999131,649.9106499,6.115730582,354.6852263,0.107381828,0,0.8,6.8,20.8,0.308,0.351
0,12/10/2001,30.38894127,78.48013008,653.5419805,4.480168157,355.3535421,0.105296519,0,0.8,2.6,20.1,0.297,0.349
0,13-10-2001,30.38900743,78.47995262,657.5415944,4.783228655,348.0755789,0.140028335,0,0.8,0.8,20.1,0.283,0.346
0,14-10-2001,30.38897958,78.48003866,654.6978774,5.795103828,344.4633213,0.0855204,0,0,0.8,20.1,0.27,0.344
0,15-10-2001,30.38893737,78.47985363,654.2033354,5.911849033,348.8780242,0.133816843,0,0,0.8,17.8,0.259,0.341
0,16-10-2001,30.38903356,78.48006334,652.6610689,4.687661013,347.8605897,0.088044134,0,0,0.8,17.6,0.25,0.339
0,17-10-2001,30.38889185,78.48003092,649.6360988,2.760719589,356.5251725,0.135166256,0,0,0.8,15.5,0.245,0.337
0,18-10-2001,30.38893764,78.48006462,656.6640967,3.795431522,344.0178231,0.110989559,0,0,0,12.1,0.241,0.335
0,19-10-2001,30.38895991,78.4801214,654.7076607,7.220076321,348.9014163,0.123302433,0,0,0,6.8,0.234,0.333
0,20-10-2001,30.38898682,78.47989395,658.3096551,7.137048533,347.4906852,0.095531712,0,0,0,2.6,0.227,0.331
0,21-10-2001,30.38908555,78.47992848,653.3196522,5.748243163,340.4125613,0.132697699,0,0,0,0.8,0.222,0.329
0,22-10-2001,30.3889099,78.48014873,653.0149964,3.426185597,354.4964779,0.114010893,1.1,0,0,0.8,0.223,0.328
0,23-10-2001,30.38900427,78.47989689,658.7434699,2.978544463,341.1429996,0.087619175,0.3,1.1,1.1,1.9,0.226,0.327
0,24-10-2001,30.38902772,78.48006619,650.4115749,7.247630135,349.1029738,0.132725356,0,1.4,1.4,2.2,0.222,0.325
0,25-10-2001,30.38886394,78.48006752,651.5236153,6.865839014,344.1112596,0.12924397,0,1.4,1.4,2.2,0.219,0.323
0,26-10-2001,30.38903226,78.4800549,653.8816422,4.489639122,353.9419356,0.130760787,0,0.3,1.4,1.4,0.217,0.322
0,27-10-2001,30.38890116,78.47991823,654.235443,5.648011587,353.9700525,0.113170313,0.5,0,1.4,1.4,0.215,0.321
0,28-10-2001,30.38886952,78.47991454,654.4871662,7.070759616,339.8410203,0.085865692,1.7,0.5,1.9,1.9,0.219,0.32
0,29-10-2001,30.38913467,78.4800499,651.1210993,3.190769873,356.0557168,0.137315031,2.4,2.2,3.6,3.6,0.246,0.319
0,30-10-2001,30.38913969,78.47990588,658.2684805,5.681312576,339.9072699,0.122870664,0.3,4.6,4.9,6,0.253,0.318
0,31-10-2001,30.38909252,78.48004847,656.035021,7.097427288,346.0908713,0.138143562,0,4.4,4.9,6.3,0.249,0.317
0,1/11/2001,30.38894138,78.47999776,651.5843985,6.682620305,350.9663438,0.097757797,0,2.7,4.9,6.3,0.241,0.316
0,2/11/2001,30.3888793,78.47996599,651.94193,3.93563907,345.1219316,0.126528891,0,0.3,4.9,6.3,0.233,0.315
0,3/11/2001,30.38905527,78.47994007,657.8035847,7.260235905,348.0924218,0.141598645,0.6,0,4.9,6.3,0.226,0.314
0,4/11/2001,30.38898205,78.48013427,652.8035541,3.515815471,356.9258441,0.144579298,1,0.6,5,6.9,0.244,0.314
0,5/11/2001,30.38888661,78.48000243,654.5636336,3.542866996,342.1614846,0.104123085,0,1.6,4.3,7.9,0.246,0.313
0,6/11/2001,30.38899855,78.48001838,650.2042678,2.983039777,352.244333,0.124179301,0.5,1.6,1.9,7.9,0.241,0.312
0,7/11/2001,30.38886032,78.48013478,651.517328,3.090592098,350.1786603,0.109521937,0,1.5,2.1,7.3,0.237,0.311
0,8/11/2001,30.3891228,78.48004616,653.1657669,6.308266349,355.9447699,0.142869306,0,0.5,2.1,7,0.231,0.31
0,9/11/2001,30.38892763,78.48013736,655.5613738,3.879315852,339.0075031,0.106779192,0,0.5,2.1,7,0.225,0.31
0,10/11/2001,30.38904876,78.47988191,651.8022066,6.845649432,342.3633556,0.105392507,0,0,2.1,7,0.22,0.309
0,11/11/2001,30.38894351,78.48010399,658.5076151,6.788026065,352.322856,0.086196377,0,0,1.5,7,0.215,0.308
0,12/11/2001,30.38900602,78.47995062,651.2021715,3.082407616,353.3626272,0.106030649,0,0,0.5,6.5,0.211,0.308
0,13-11-2001,30.38901401,78.48009315,656.7890689,5.16175172,351.3200567,0.103243101,0,0,0.5,4.8,0.207,0.307
0,14-11-2001,30.38890546,78.48010669,652.6459881,6.197298087,340.0366682,0.092531293,0,0,0,2.4,0.204,0.306
0,15-11-2001,30.38914088,78.47993145,657.3340088,5.913209303,343.6090836,0.086862607,0,0,0,2.1,0.201,0.305
0,16-11-2001,30.38908254,78.47997265,658.2310571,3.018351039,341.494134,0.085739365,0,0,0,2.1,0.199,0.305
0,17-11-2001,30.38913185,78.4800678,650.8701556,4.108722265,352.298873,0.107524419,0,0,0,2.1,0.198,0.304
0,18-11-2001,30.38911845,78.47987972,653.9147704,5.559881973,354.8741481,0.10738188,0,0,0,2.1,0.196,0.303
0,19-11-2001,30.38902937,78.48007666,650.5436587,5.421682548,349.256435,0.102325584,0,0,0,1.5,0.195,0.303
0,20-11-2001,30.38912656,78.47988314,656.0582523,6.570133747,340.1252801,0.112648693,0,0,0,0.5,0.195,0.302
